country,country_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AFG,AFG,4.213,3.849,4.365,1.758,4.043,3.316,3.709,3.821,3.474,3.97,3.516,2.742,2.602,2.381,2.326
AGO,AGO,3.971,3.956,2.6,3.008,2.633,2.423,2.088,2.251,2.405,3.592,4.413,4.151,4.037,2.612,2.942
ALB,ALB,6.144,6.234,4.201,3.906,4.7,4.495,5.706,6.004,6.301,4.881,4.704,5.884,5.871,6.122,6.253
ARE,ARE,6.448,7.709,7.643,7.478,6.693,6.737,6.882,5.243,6.033,6.371,6.279,6.578,7.224,7.215,7.333
ARG,Argentina,7.54,7.058,4.918,5.256,3.252,4.997,4.972,6.37,4.885,4.674,4.173,5.693,6.553,5.311,5.782
ARM,ARM,5.815,6.055,6.464,5.453,4.588,4.414,4.028,4.755,5.597,5.503,4.116,5.105,6.179,6.523,5.899
AUS,AUS,7.96,8.349,8.322,8.394,7.581,7.488,7.376,7.098,6.969,6.85,7.087,6.067,6.509,7.236,6.899
AUT,AUT,7.704,8.373,7.425,7.426,7.254,7.43,7.527,7.435,7.606,7.403,6.947,7.531,7.152,6.198,6.694
AZE,AZE,5.178,4.43,5.079,5.822,4.5,4.116,3.148,3.212,3.579,4.88,5.616,4.824,4.591,4.046,4.275
BDI,BDI,3.433,3.426,3.44,3.706,4.019,3.19,2.36,2.4,2.392,3.326,3.668,2.782,2.69,2.765,3.611
BEL,BEL,8.162,8.356,7.588,7.289,7.597,7.336,8.005,7.118,7.366,7.486,7.363,7.825,7.566,6.794,6.266
BEN,BEN,4.041,4.302,4.353,4.859,4.73,3.533,4.008,4.274,4.487,4.862,4.827,4.507,4.544,4.865,5.033
BFA,BFA,5.758,4.872,3.708,3.313,2.731,2.747,3.429,3.861,1.809,4.048,4.324,3.364,2.536,2.27,2.42
BGD,Bangladesh,5.448,6.191,5.335,4.887,5.691,5.918,6.734,5.911,5.839,5.69,6.541,5.552,5.66,5.681,4.912
BGR,BGR,6.686,6.895,6.329,6.62,6.448,7.084,7.053,6.827,7.178,7.204,6.969,7.251,7.155,6.883,6.901
BHR,BHR,6.331,6.745,5.862,5.481,4.704,5.221,5.955,6.265,6.056,6.352,6.278,6.062,6.447,6.678,6.561
BIH,BIH,4.163,4.212,4.188,4.666,4.489,4.33,3.975,3.631,4.148,3.689,4.445,5.299,5.378,5.56,5.455
BLR,BLR,3.858,5.883,5.395,2.694,3.605,1.676,1.649,4.403,5.057,5.449,5.214,1.892,1.564,4.353,3.816
BLZ,BLZ,4.259,4.234,4.505,3.997,3.912,3.688,3.037,3.042,3.984,4.747,3.721,6.088,5.721,4.555,5.387
BOL,BOL,5.033,5.284,4.818,4.792,4.69,3.729,3.701,4.02,3.655,4.018,3.765,5.108,4.554,4.168,3.295
BRA,Brazil,8.272,7.598,6.626,6.773,5.223,3.955,4.006,4.499,4.473,4.386,4.737,5.344,6.099,6.248,5.876
BTN,BTN,5.777,5.3,4.467,4.303,4.707,5.783,6.166,5.617,5.644,6.1,4.645,5.011,4.568,6.163,6.494
BWA,BWA,7.474,7.517,5.729,6.52,5.683,4.047,5.534,4.933,5.491,5.617,5.35,5.245,4.747,4.938,4.388
CAF,CAF,4.147,3.911,2.333,1.571,1.455,2.049,2.898,1.062,1.442,1.66,2.11,2.861,3.017,2.484,2.122
CAN,CAN,8.068,8.404,7.959,8.257,7.92,7.432,7.412,7.741,7.62,7.059,6.059,6.521,6.522,6.315,6.391
CHE,CHE,8.531,8.449,8.465,8.01,7.555,7.931,7.868,7.897,7.506,7.41,7.58,7.228,7.085,7.315,7.635
CHL,CHL,8.08,8.395,7.601,6.995,6.158,6.063,5.713,5.309,6.271,5.781,5.347,5.379,4.902,4.712,5.546
CHN,China,9.315,9.26,8.401,8.159,8.022,7.852,8.024,8.257,8.617,8.255,8.999,7.809,7.168,8.232,8.055
CIV,Cte d'Ivoire,4.381,3.684,5.031,5.624,6.431,5.88,5.783,5.191,4.373,5.52,4.961,4.367,4.654,4.927,5.169
CMR,CMR,4.282,4.444,3.312,3.229,4.32,4.12,4.175,3.65,3.225,3.206,3.302,3.015,3.494,3.518,3.459
COD,COD,4.291,4.224,3.458,4.293,4.437,4.33,3.631,2.942,3.29,2.853,3.523,3.001,3.74,3.348,3.225
COG,COG,4.078,1.49,3.43,3.462,3.46,2.385,2.217,2.147,2.171,2.134,2.562,2.107,1.693,1.46,1.538
COL,Colombia,6.428,7.47,5.774,6.005,6.041,5.145,5.162,5.101,5.097,5.75,3.971,5.192,5.712,4.734,4.609
CRI,CRI,7.761,7.518,6.286,6.079,6.36,7.028,7.145,6.697,6.097,5.687,5.495,6.36,6.955,7.354,7.178
CYP,CYP,7.088,6.503,4.418,3.519,4.121,5.342,6.089,7.132,7.696,7.242,5.334,6.071,6.793,6.291,6.912
CZE,CZE,8.095,7.943,7.134,7.333,7.981,8.511,8.318,8.743,8.166,7.495,6.886,7.57,7.378,7.061,7.495
DEU,DEU,8.75,8.864,7.499,7.571,7.911,8.026,7.856,7.678,7.562,7.441,7.645,7.503,6.769,6.817,7.081
DJI,DJI,,,2.068,2.559,2.712,2.723,2.552,2.714,2.897,2.994,3.189,3.075,3.357,3.012,3.045
DNK,DNK,7.226,7.916,7.783,8.199,7.983,7.737,7.961,7.671,7.717,7.413,7.782,8.083,7.598,7.924,8.115
DOM,DOM,7.848,6.273,6.204,6.605,7.334,7.014,6.249,5.782,6.019,5.853,4.81,7.181,6.582,6.391,7.051
DZA,DZA,5.858,5.494,4.28,5.269,4.598,4.429,4.782,3.587,3.856,4.527,5.007,4.93,4.841,5.215,4.682
ECU,ECU,5.355,6.22,5.644,6.723,6.051,4.348,4.129,5.282,4.961,4.974,5.094,6.295,6.395,5.81,3.155
EGY,Egypt,5.216,4.593,3.287,3.051,3.077,3.446,3.291,4.133,5.332,5.862,5.901,4.251,5.667,5.187,4.358
ERI,ERI,3.239,3.893,3.256,2.914,2.689,2.245,2.67,3.102,3.132,3.231,3.685,2.784,2.098,1.709,1.293
ESP,ESP,5.719,5.541,4.743,4.659,5.054,5.146,5.78,6.259,6.697,6.151,4.951,6.184,6.854,6.339,7.023
EST,EST,7.65,8.81,8.343,8.29,8.248,7.334,7.921,8.3,7.902,7.98,8.027,8.236,6.461,6.166,6.602
ETH,Ethiopia,4.455,4.928,4.457,4.685,5.25,4.691,4.52,4.397,4.307,4.719,5.098,3.959,3.655,3.149,3.344
FIN,FIN,7.922,7.894,6.693,6.782,6.655,7.296,7.815,8.239,7.404,7.362,7.542,7.343,7.321,6.417,6.707
FRA,FRA,7.487,7.977,6.709,6.976,6.559,6.746,6.566,6.879,6.951,6.801,5.508,6.69,6.347,6.376,6.265
GAB,GAB,4.966,4.858,4.512,3.87,3.342,3.422,3.369,3.123,2.833,2.861,3.257,2.797,2.808,2.592,2.44
GBR,GBR,7.284,6.988,6.128,7.334,7.924,8.305,8.16,7.728,6.746,6.116,5.32,6.742,6.855,6.221,6.673
GEO,GEO,5.373,5.914,6.498,6.173,5.641,5.08,5.306,5.811,5.933,5.567,4.491,5.538,6.285,6.564,6.01
GHA,Ghana,5.856,5.705,5.578,5.415,4.272,3.657,3.966,4.958,4.872,5.275,4.526,3.304,3.186,3.635,4.634
GIN,GIN,3.553,3.75,4.08,3.572,3.797,3.798,5.06,5.018,4.527,3.725,5.004,3.808,3.517,3.996,3.898
GMB,GMB,3.886,3.254,3.275,2.365,2.1,2.518,2.504,4.45,5.639,4.682,4.491,4.138,5.202,5.549,5.286
GNB,GNB,3.399,4.282,1.943,2.214,2.362,3.114,3.875,4.075,4.125,3.203,3.87,3.019,2.837,3.155,2.76
GRC,GRC,4.398,4.216,2.998,3.773,4.197,4.238,4.266,3.903,4.594,5.54,5.251,6.712,6.779,5.88,5.259
GTM,Guatemala,4.701,5.29,4.79,4.837,5.158,5.378,4.747,4.664,4.582,4.596,5.058,5.654,4.93,4.99,5.113
GUY,GUY,5.841,5.847,4.617,4.881,4.578,4.753,5.132,5.745,6.297,6.669,6.09,3.568,4.354,4.6,4.767
HND,Honduras,5.527,6.202,4.846,3.791,3.678,4.951,5.043,5.725,5.459,5.101,3.66,5.132,4.761,4.588,4.678
HRV,HRV,5.267,5.402,4.544,4.639,4.974,5.585,6.396,6.388,6.361,6.778,5.464,7.325,7.697,7.339,7.218
HTI,HTI,2.995,4.359,3.158,3.741,3.594,3.698,3.589,3.587,3.573,3.25,3.498,2.532,2.142,2.024,1.939
HUN,HUN,6.202,7.195,6.111,6.813,6.915,6.387,6.953,7.085,7.425,7.484,6.748,7.107,6.695,5.966,5.479
IDN,Indonesia,7.21,7.451,7.85,7.451,6.552,6.293,6.794,7.472,7.741,7.281,7.302,6.765,7.058,7.326,7.225
IND,India,6.54,6.03,4.327,4.451,4.737,5.519,6.329,6.379,6.828,5.351,5.166,5.525,5.669,6.474,6.412
IRL,IRL,7.12,7.015,6.493,7.466,8.39,8.964,8.376,8.455,8.302,7.433,8.165,7.906,7.994,6.887,7.849
IRN,IRN,2.395,3.022,1.86,1.884,1.86,1.86,2.019,2.591,2.012,1.86,2.989,2.675,2.057,1.86,2.206
IRQ,IRQ,4.059,4.297,2.452,1.949,3.115,2.772,3.07,2.603,3.381,2.343,3.905,3.964,4.297,3.441,3.661
ISL,ISL,5.426,7.035,7.372,7.571,7.215,7.374,7.608,6.903,7.898,6.596,5.971,7.132,7.257,7.05,6.863
ISR,ISR,8.315,8.437,7.735,8.206,7.996,7.624,8.251,7.863,7.753,6.725,6.692,7.245,7.232,6.191,5.789
ITA,ITA,6.248,6.157,4.995,4.851,4.991,5.019,5.054,4.786,4.699,5.538,5.342,6.986,7.254,6.925,6.782
JAM,JAM,4.12,5.21,3.993,4.748,4.542,5.294,5.93,6.231,6.517,5.101,3.664,5.742,6.568,6.52,5.481
JOR,JOR,5.986,6.139,6.118,5.287,4.771,4.403,4.407,4.992,4.35,4.368,4.359,3.791,4.342,4.878,4.849
JPN,JPN,8.67,7.761,7.624,8.011,7.127,7.687,7.831,8.254,8.105,7.387,7.798,7.878,7.636,8.157,7.571
KAZ,Kazakhstan,6.786,6.56,6.556,6.698,5.341,4.854,4.996,5.771,5.631,6.8,6.656,5.271,4.812,5.12,5.252
KEN,Kenya,6.147,5.171,5.339,4.909,6.026,5.311,4.843,4.924,5.215,4.65,5.194,5.233,5.446,5.335,5.024
KGZ,KGZ,4.083,5.995,5.102,6.747,4.509,4.686,5.318,5.567,5.661,6.236,3.725,4.257,4.517,4.975,5.471
KHM,KHM,6.417,6.243,6.866,7.014,6.624,5.67,5.689,5.898,6.402,6.241,5.715,4.891,5.817,6.02,6.709
KOR,KOR,9.2,8.945,8.493,8.671,8.613,8.234,7.984,7.871,8.2,8.112,8.533,8.269,8.036,8.081,7.835
KWT,KWT,4.574,5.526,4.838,4.494,2.841,2.93,3.333,2.873,3.739,4.476,4.934,4.802,5.465,4.725,4.693
LAO,LAO,4.496,4.585,4.654,4.928,5.143,5.294,5.235,4.57,3.958,3.238,3.827,3.76,3.924,4.369,4.643
LBN,LBN,5.355,4.849,3.821,4.033,3.165,2.968,2.924,2.877,3.191,2.525,2.722,2.156,2.191,2.18,1.952
LBR,LBR,4.388,4.257,4.054,3.858,3.222,2.966,2.775,2.808,2.541,2.474,2.962,3.289,3.585,2.589,3.113
LBY,LBY,1.507,2.769,2.196,1.507,2.163,1.763,1.801,2.929,1.673,1.776,1.927,2.333,2.924,1.636,1.737
LKA,Sri Lanka,7.502,7.697,6.823,6.146,6.203,6.429,6.79,7.433,6.546,5.499,5.075,4.924,3.048,3.856,6.554
LSO,LSO,5.69,5.449,6.02,5.041,4.282,5.317,4.65,3.229,2.719,2.484,2.738,3.264,3.36,3.587,4.42
