country,country_name,year,rao_score,base_rao_score,regime,regime_label,tos_score,tos_signal_label,sis_score,dgi_score,rvs_score,pillar_a,pillar_b,pillar_c,pillar_d,cvar25,volatility_band,event_adjustment,anomaly_flag,anomaly_haircut_applied,archetype,data_confidence,imputed_vars,gdelt_active,rao_score_pre_overlay,overlay_adjustment,trajectory_classification,trajectory_discount,trajectory_reason,universe_flag,universe_flag_severity,universe_flag_description,requires_disclosure,market_size_bonus
CHN,China,2023,8.232,8.304,RO,Robust Opportunity,0.532,Moderate Potential,0.45,0.531,0.648,0.621,0.536,0.609,0.38,0.812,0.062,0.0,True,True,High-Growth Emerging Market,HIGH,export_growth; secondary_school_enrolment,False,6.797,1.435,structural,1.0,"Trajectory supported by governance data (RVS=0.648, Pillar B=0.536) — classified as structural",clean,N/A,No universe integrity issues detected.,False,1.435
JPN,JPN,2023,8.157,9.11,RO,Robust Opportunity,0.443,Moderate Potential,0.25,0.553,0.664,0.518,0.639,0.784,0.546,0.901,0.084,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.959,1.198,structural,1.0,"Trajectory supported by governance data (RVS=0.664, Pillar B=0.639) — classified as structural",clean,N/A,No universe integrity issues detected.,False,1.198
KOR,KOR,2023,8.081,9.033,RO,Robust Opportunity,0.467,Moderate Potential,0.25,0.521,0.851,0.555,0.7,0.741,0.435,0.892,0.111,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,7.0,1.081,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.700) and flat trajectory (Pillar D=0.435) — classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,1.081
DNK,DNK,2023,7.924,9.192,FO,Fragile Opportunity,0.46,Moderate Potential,0.25,0.619,0.665,0.541,0.783,0.698,0.624,0.91,0.145,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,7.073,0.851,structural,1.0,"Trajectory supported by governance data (RVS=0.665, Pillar B=0.783) — classified as structural",clean,N/A,No universe integrity issues detected.,False,0.851
USA,USA,2023,7.804,8.466,RO,Robust Opportunity,0.368,Low Takeoff Signal,0.25,0.503,0.401,0.486,0.516,0.766,0.488,0.83,0.054,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.304,1.5,structural,1.0,"Trajectory supported by governance data (RVS=0.401, Pillar B=0.516) — classified as structural",clean,N/A,No universe integrity issues detected.,False,1.5
PRT,PRT,2023,7.389,8.566,RO,Robust Opportunity,0.442,Moderate Potential,0.25,0.589,0.614,0.538,0.614,0.639,0.629,0.841,0.11,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.63,0.759,structural,1.0,"Trajectory supported by governance data (RVS=0.614, Pillar B=0.614) — classified as structural",clean,N/A,No universe integrity issues detected.,False,0.759
CRI,CRI,2023,7.354,8.673,FO,Fragile Opportunity,0.454,Moderate Potential,0.2,0.634,0.8,0.561,0.646,0.602,0.718,0.853,0.131,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.738,0.616,structural,1.0,"Trajectory supported by governance data (RVS=0.800, Pillar B=0.646) — classified as structural",market_depth_limited,MEDIUM,(CRI) scores highly on fundamentals but has limited market depth for institutional capital deployment. Score reflects structural quality; investors should apply position size constraints and verify market access before allocation.,True,0.616
HRV,HRV,2023,7.339,8.643,RO,Robust Opportunity,0.453,Moderate Potential,0.2,0.552,0.936,0.547,0.584,0.673,0.529,0.849,0.08,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.718,0.621,structural,1.0,"Trajectory supported by governance data (RVS=0.936, Pillar B=0.584) — classified as structural",clean,N/A,No universe integrity issues detected.,False,0.621
IDN,Indonesia,2023,7.326,7.921,RO,Robust Opportunity,0.457,Moderate Potential,0.2,0.578,0.908,0.596,0.54,0.546,0.497,0.769,0.08,0.0,True,True,High-Growth Emerging Market,HIGH,,False,6.296,1.03,structural,1.0,"Trajectory supported by governance data (RVS=0.908, Pillar B=0.540) — classified as structural",clean,N/A,No universe integrity issues detected.,False,1.03
CHE,CHE,2023,7.315,8.433,FO,Fragile Opportunity,0.384,Low Takeoff Signal,0.25,0.605,0.372,0.465,0.777,0.7,0.458,0.826,0.164,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.342,0.973,structural,1.0,"Trajectory supported by governance data (RVS=0.372, Pillar B=0.777) — classified as structural",clean,N/A,No universe integrity issues detected.,False,0.973
