country,country_name,year,data_confidence,gdp_growth,export_growth,net_fdi_pct_gdp,gross_capital_formation,secondary_school_enrolment,cpi_inflation,government_debt_pct_gdp,current_account_pct_gdp,external_debt_pct_gni,political_stability,rule_of_law,control_of_corruption,natural_resource_rents_pct_gdp,gdp_per_capita_growth,youth_unemployment,vulnerable_employment,regulatory_quality,gdp_growth_trend,fdi_trend,governance_trend,debt_trend,inflation_trend
AFG,AFG,2024,HIGH,0.4132,0.1445,0.4174,0.133,0.1711,0.6653,0.9229,0.018,0.8335,0.023,0.0449,0.118,0.7827,0.3337,0.4333,0.042,0.0593,0.5093,,0.0334,0.2943,0.9398
AGO,AGO,2024,HIGH,0.6265,0.4273,0.3902,0.0463,0.1083,0.3901,0.5179,0.8015,0.2968,0.3654,0.155,0.3093,0.0245,0.4473,0.1523,0.1134,0.21,0.9047,0.849,0.0781,0.9726,0.595
ALB,ALB,2024,HIGH,0.5903,0.3905,0.557,0.5991,0.8328,0.5845,0.5929,0.4391,0.6876,0.6484,0.5428,0.3898,0.7523,0.8259,0.1765,0.3354,0.5947,0.2436,0.3529,0.9182,0.9684,0.5817
ARE,ARE,2024,HIGH,0.585,0.5728,0.6,0.6898,0.7683,0.5873,0.8056,0.8979,0.5654,0.8926,0.7799,0.9131,0.1666,0.2603,0.7987,0.9176,0.9042,0.9376,0.8328,0.9166,0.625,0.0951
ARG,Argentina,2024,HIGH,0.1414,0.846,0.455,0.1486,0.8059,0.0374,0.2803,0.6151,0.6934,0.5595,0.4839,0.4302,0.7125,0.1954,0.3607,0.7252,0.4222,0.163,0.5704,0.8079,0.273,0.0145
ARM,ARM,2024,HIGH,0.7524,0.9278,0.4255,0.5344,0.615,0.5891,0.6488,0.3638,0.4257,0.3004,0.5322,0.6334,0.5419,0.6626,0.1539,0.5514,0.5957,0.957,0.3911,0.5287,0.8822,0.9398
AUS,AUS,2024,HIGH,0.3295,0.4888,0.4825,0.5631,0.9587,0.5822,0.6535,0.4641,0.4053,0.8935,0.9523,0.9721,0.2909,0.2712,0.7158,0.8682,0.9666,0.2126,0.5422,0.3863,0.6277,0.5608
AUT,AUT,2024,HIGH,0.1782,0.3302,0.4715,0.5194,0.7503,0.5844,0.3187,0.6831,0.3483,0.8228,0.9665,0.9289,0.7915,0.2308,0.6832,0.8783,0.9351,0.172,0.6192,0.4656,0.3393,0.5682
AZE,AZE,2024,HIGH,0.5928,0.2567,0.4211,0.3752,0.6177,0.5634,0.8724,0.8703,0.8492,0.5737,0.3822,0.2551,0.0247,0.6706,0.5729,0.2291,0.5943,0.4102,0.3935,0.9182,0.3022,0.6172
BDI,BDI,2024,MEDIUM,0.5968,0.7686,0.4383,0.623,0.0733,0.327,0.7171,0.0702,0.6182,0.1066,0.1265,0.0927,0.2705,0.4637,0.8908,0.0368,0.1975,0.6592,0.5442,0.7125,0.9509,0.0145
BEL,BEL,2024,HIGH,0.3031,0.3446,0.2876,0.573,0.9795,0.5671,0.1427,0.5203,0.3735,0.6921,0.9347,0.9467,0.7935,0.3606,0.4292,0.8519,0.9217,0.1952,0.3317,0.0579,0.5215,0.5908
BEN,BEN,2024,HIGH,0.8503,0.5051,0.4709,0.9418,0.0675,0.603,0.6101,0.2524,0.4199,0.4458,0.4132,0.4672,0.7244,0.7727,0.8683,0.0505,0.403,0.4466,0.8018,0.6657,0.1055,0.9031
BFA,BFA,2024,HIGH,0.6612,0.2854,0.4222,0.4232,0.029,0.5634,0.6243,0.2533,0.6021,0.0405,0.2336,0.462,0.1161,0.566,0.7962,0.0447,0.2974,0.1616,0.423,0.0334,0.2381,0.5963
BGD,Bangladesh,2024,HIGH,0.6075,0.0889,0.4205,0.8527,0.219,0.5264,0.7438,0.4893,0.8194,0.0915,0.2102,0.1614,0.7775,0.6142,0.7253,0.187,0.16,0.1604,0.3432,0.6644,0.1134,0.0145
BGR,BGR,2024,HIGH,0.525,0.4344,0.4846,0.3399,0.6724,0.5848,0.8595,0.5758,0.5374,0.6571,0.58,0.4675,0.7684,0.6613,0.6115,0.884,0.6614,0.1932,0.3929,0.8481,0.2949,0.5907
BHR,BHR,2024,HIGH,0.4464,0.4377,0.5438,0.7718,0.7275,0.5966,0.0429,0.7824,0.2895,0.5078,0.6639,0.6769,0.1911,0.5038,0.8211,0.9213,0.8715,0.6424,0.9413,0.9182,0.2622,0.4847
BIH,BIH,2024,HIGH,0.4832,0.3468,0.4905,0.7305,0.5664,0.5786,0.8011,0.3771,0.5982,0.3989,0.4539,0.352,0.7715,0.6773,0.141,0.7765,0.3706,0.1918,0.6274,0.6302,0.4341,0.5785
BLR,BLR,2024,HIGH,0.5868,0.4662,0.4654,0.6479,0.6725,0.5618,0.7062,0.4191,0.6278,0.4582,0.1413,0.3262,0.7389,0.7499,0.6795,0.8881,0.1008,0.3571,0.4269,0.0334,0.3099,0.8413
BLZ,BLZ,2024,HIGH,0.5368,0.5485,0.5046,0.3068,0.5437,0.5811,0.535,0.4857,0.6288,0.8919,0.4198,0.5025,0.78,0.521,0.3848,0.6099,0.3278,0.2165,0.3144,0.9182,0.9726,0.5648
BOL,BOL,2024,HIGH,0.1525,0.1155,0.4287,0.2229,0.6085,0.5243,0.2019,0.3447,0.7477,0.378,0.1335,0.1879,0.4409,0.1501,0.8277,0.1385,0.0971,0.2582,0.7489,0.5015,0.1006,0.0145
BRA,Brazil,2024,HIGH,0.5282,0.4611,0.4905,0.186,0.7909,0.5639,0.2631,0.4181,0.7768,0.3898,0.3987,0.3948,0.5048,0.6176,0.4923,0.6683,0.3952,0.549,0.4648,0.433,0.5157,0.6899
BTN,BTN,2024,HIGH,0.6459,0.9474,0.4217,0.9944,0.5392,0.5873,0.1256,0.0369,0.0903,0.9618,0.8565,0.947,0.7098,0.6995,0.4073,0.0932,0.4891,0.9702,0.5766,0.9182,0.4622,0.9398
BWA,BWA,2024,HIGH,0.0782,0.3737,0.4682,0.9527,0.2977,0.5873,0.8025,0.3247,0.8744,0.9305,0.7184,0.8027,0.7648,0.0704,0.0105,0.6783,0.7076,0.1608,0.9335,0.6088,0.1906,0.6423
CAF,CAF,2024,HIGH,0.3409,0.5362,0.447,0.5231,0.0117,0.5777,0.5382,0.1655,0.7209,0.0465,0.0651,0.1178,0.4084,0.1823,0.6974,0.0487,0.0949,0.168,0.8929,0.0764,0.1006,0.5861
CAN,CAN,2024,HIGH,0.3458,0.402,0.4773,0.4972,0.7928,0.5861,0.1117,0.5383,0.2895,0.8513,0.9516,0.9595,0.6276,0.2134,0.5829,0.8647,0.9364,0.2261,0.4149,0.2066,0.4218,0.593
CHE,CHE,2024,HIGH,0.3232,0.3805,0.1979,0.7071,0.7601,0.5955,0.7648,0.7896,0.5273,0.9237,0.9711,0.9786,0.7945,0.3232,0.7506,0.8649,0.9695,0.1618,0.9741,0.5582,0.4806,0.5181
CHL,CHL,2024,HIGH,0.4504,0.5665,0.4996,0.4996,0.8063,0.5662,0.7278,0.488,0.4488,0.6921,0.8334,0.9037,0.1843,0.5281,0.3015,0.7436,0.8314,0.1725,0.389,0.4595,0.1006,0.5933
CHN,China,2024,HIGH,0.677,0.4892,0.4164,0.9836,0.6813,0.6001,0.2542,0.6758,0.8694,0.5675,0.3436,0.6103,0.744,0.791,0.5163,0.5459,0.4985,0.1627,0.0483,0.4206,0.1006,0.6541
CIV,Cte d'Ivoire,2024,HIGH,0.7613,0.9077,0.4949,0.3635,0.2304,0.5846,0.5537,0.351,0.6014,0.2532,0.3441,0.4478,0.636,0.6611,0.8468,0.091,0.4537,0.5055,0.9741,0.7849,0.1006,0.6095
CMR,CMR,2024,HIGH,0.5388,0.2673,0.4514,0.2644,0.073,0.5623,0.7216,0.3961,0.7574,0.0773,0.1364,0.1344,0.6047,0.404,0.7939,0.1026,0.2241,0.4512,0.3854,0.6022,0.3749,0.0791
COD,COD,2024,HIGH,0.769,0.2073,0.5068,0.8994,0.1362,0.511,0.8798,0.3556,0.8427,0.0271,0.0753,0.0851,0.0056,0.5924,0.7587,0.0419,0.0922,0.6033,0.4849,0.6382,0.3896,0.4669
COG,COG,2024,HIGH,0.444,0.3751,0.5007,0.7001,0.2116,0.5528,0.199,0.6318,0.6398,0.5164,0.1529,0.0986,0.0068,0.3375,0.0214,0.0611,0.1154,0.9702,0.9741,0.8981,0.363,0.0145
COL,Colombia,2024,HIGH,0.3498,0.4553,0.4877,0.1803,0.7618,0.5609,0.5314,0.4722,0.5977,0.209,0.3515,0.4441,0.6128,0.3712,0.3543,0.3874,0.5382,0.1738,0.4666,0.2959,0.4501,0.2758
CRI,CRI,2024,HIGH,0.6168,0.5429,0.5397,0.1436,0.923,0.5941,0.5483,0.4941,0.5714,0.9467,0.8143,0.8157,0.773,0.6927,0.318,0.7087,0.7724,0.4726,0.7429,0.6689,0.6567,0.6446
CYP,CYP,2024,HIGH,0.58,0.5513,0.0,0.3531,0.8176,0.5766,0.4858,0.2365,0.585,0.7905,0.8329,0.7737,0.7944,0.5485,0.5983,0.8767,0.8203,0.1744,0.9741,0.5786,0.9726,0.5244
CZE,CZE,2024,HIGH,0.3171,0.4278,0.4989,0.6727,0.7118,0.5787,0.7188,0.6521,0.5742,0.9225,0.9237,0.8734,0.7837,0.4038,0.7222,0.8289,0.9201,0.2644,0.3909,0.7823,0.1486,0.5928
DEU,DEU,2024,HIGH,0.188,0.3357,0.4368,0.3985,0.7457,0.5815,0.5025,0.8118,0.257,0.6933,0.9634,0.9681,0.7926,0.2601,0.7943,0.9018,0.95,0.1628,0.0483,0.6592,0.5024,0.5788
DJI,DJI,2024,HIGH,0.8244,0.1813,0.4507,0.0044,0.6537,0.5917,0.7976,0.9925,0.2614,0.3732,0.1957,0.2183,0.787,0.8183,0.0001,0.604,0.1862,0.9702,0.0483,0.7177,0.7205,0.5372
DNK,DNK,2024,HIGH,0.5341,0.5789,0.5111,0.4976,0.939,0.5864,0.8327,0.9522,0.5026,0.8888,0.981,0.9869,0.7853,0.6135,0.6368,0.8943,0.9772,0.1751,0.5209,0.7049,0.9246,0.5933
DOM,DOM,2024,HIGH,0.6749,0.5966,0.4953,0.7076,0.3814,0.5752,0.5588,0.3915,0.6356,0.849,0.5146,0.4564,0.732,0.7133,0.5977,0.471,0.6266,0.2362,0.518,0.9182,0.6848,0.9398
DZA,DZA,2024,HIGH,0.5563,0.3276,0.4243,0.9853,0.8017,0.5779,0.6891,0.4932,0.9108,0.3127,0.2982,0.3204,0.08,0.5448,0.1002,0.6771,0.2164,0.9072,0.3825,0.8095,0.3056,0.5962
ECU,ECU,2024,HIGH,0.1122,0.4348,0.4221,0.2455,0.6434,0.5964,0.5994,0.8146,0.5923,0.3013,0.2087,0.2549,0.5567,0.132,0.7409,0.2797,0.2522,0.1705,0.192,0.0334,0.7122,0.5718
EGY,Egypt,2024,HIGH,0.4262,0.1658,0.6776,0.082,0.5172,0.3902,0.233,0.2934,0.6671,0.2068,0.2783,0.2381,0.6201,0.3832,0.4312,0.7018,0.3077,0.1604,0.9741,0.7752,0.1907,0.0145
ERI,ERI,2024,LOW,0.3158,0.7278,0.4736,0.1202,0.0695,0.558,0.0002,0.9518,0.1224,0.3064,0.0562,0.0703,0.2156,0.2846,0.6953,0.3093,0.0242,,,0.0553,,
ESP,ESP,2024,HIGH,0.5318,0.4717,0.4698,0.3802,0.9064,0.5791,0.1577,0.7098,0.3735,0.6379,0.8847,0.8249,0.7915,0.5592,0.1545,0.8594,0.785,0.8108,0.3339,0.6196,0.9416,0.5643
EST,EST,2024,HIGH,0.2142,0.3495,0.255,0.5764,0.8344,0.5709,0.8581,0.5058,0.4659,0.8747,0.9536,0.962,0.7435,0.3033,0.3598,0.8838,0.9402,0.1604,0.0483,0.6634,0.1872,0.5928
ETH,Ethiopia,2024,HIGH,0.8583,0.7647,0.4745,0.3476,0.0371,0.4387,0.8043,0.3496,0.8068,0.0422,0.1852,0.3826,0.5909,0.7746,0.8215,0.035,0.1918,0.3214,0.3807,0.0436,0.972,0.5933
FIN,FIN,2024,HIGH,0.2505,0.434,0.48,0.4433,0.9787,0.5887,0.3061,0.5803,0.474,0.9006,0.9815,0.9845,0.7822,0.3044,0.3802,0.866,0.9785,0.1646,0.3911,0.4058,0.1446,0.593
FRA,FRA,2024,HIGH,0.3134,0.4547,0.451,0.3993,0.787,0.5876,0.1018,0.585,0.2895,0.5247,0.8929,0.9196,0.7938,0.4109,0.383,0.8729,0.9074,0.2712,0.3899,0.0999,0.3265,0.5457
GAB,GAB,2024,HIGH,0.5257,0.5353,0.5379,0.2751,0.2927,0.5937,0.3982,0.7695,0.7201,0.5073,0.1583,0.2048,0.1475,0.4369,0.0403,0.6121,0.2258,0.886,0.0483,0.0334,0.4111,0.594
GBR,GBR,2024,HIGH,0.3079,0.4047,0.4065,0.2744,0.8643,0.5816,0.1612,0.3904,0.3735,0.7459,0.9333,0.9502,0.7781,0.329,0.5439,0.8478,0.9512,0.2629,0.0483,0.3222,0.4543,0.5882
GEO,GEO,2024,HIGH,0.933,0.535,0.52,0.5733,0.7544,0.5864,0.7764,0.3394,0.2959,0.3478,0.6563,0.7237,0.754,0.9668,0.1005,0.3904,0.7942,0.9698,0.4041,0.1946,0.9587,0.9043
GHA,Ghana,2024,HIGH,0.7285,0.6296,0.4622,0.0424,0.3715,0.4175,0.4294,0.6445,0.6203,0.6444,0.6173,0.488,0.2912,0.6756,0.8238,0.1611,0.4898,0.47,0.221,0.5814,0.2985,0.0403
GIN,GIN,2024,HIGH,0.7089,0.5084,0.5408,0.8896,0.0729,0.5517,0.6733,0.023,0.8136,0.1882,0.1601,0.145,0.6443,0.6036,0.7825,0.0487,0.1753,0.1665,0.9741,0.5288,0.2991,0.9398
GMB,GMB,2024,HIGH,0.7254,0.8104,0.6301,0.8288,0.8203,0.5227,0.4031,0.2857,0.4219,0.631,0.4211,0.4266,0.7055,0.6341,0.6698,0.1308,0.246,0.7238,0.1359,0.6222,0.8169,0.0145
GNB,GNB,2024,HIGH,0.6001,0.0344,0.441,0.5968,0.1185,0.5571,0.3084,0.1737,0.4143,0.3452,0.1404,0.1114,0.4016,0.506,0.8728,0.0646,0.1082,0.2011,0.3924,0.4558,0.1836,0.4923
GRC,GRC,2024,HIGH,0.3957,0.413,0.4732,0.2373,0.802,0.5782,0.0207,0.2326,0.0675,0.6996,0.7134,0.6942,0.7923,0.5295,0.2589,0.7122,0.7369,0.3418,0.3937,0.1945,0.9726,0.2264
GTM,Guatemala,2024,HIGH,0.5515,0.4461,0.4507,0.1756,0.0968,0.5876,0.8419,0.6946,0.8069,0.5401,0.2096,0.2015,0.7368,0.5253,0.8392,0.5016,0.3885,0.194,0.3709,0.668,0.5512,0.6747
GUY,GUY,2024,MEDIUM,1.0,0.5041,0.9447,0.8353,0.6225,0.5784,0.8545,0.9956,0.8171,0.7303,0.4473,0.4211,0.0133,1.0,0.1959,0.6761,0.3289,0.1788,0.3804,0.7999,0.9726,0.5933
HND,Honduras,2024,HIGH,0.5417,0.2721,0.4936,0.4556,0.1101,0.5712,0.7222,0.3289,0.6686,0.3683,0.1533,0.1303,0.7591,0.5008,0.7488,0.5403,0.2587,0.2919,0.9145,0.5424,0.8058,0.5934
HRV,HRV,2024,HIGH,0.5688,0.4288,0.5243,0.568,0.8002,0.5664,0.5713,0.5001,0.4234,0.847,0.7413,0.6351,0.7754,0.6776,0.4617,0.8867,0.6605,0.2737,0.393,0.6808,0.9726,0.3741
HTI,HTI,2024,HIGH,0.0501,0.0191,0.416,0.0417,0.2553,0.3874,0.8989,0.536,0.9072,0.144,0.0782,0.0818,0.7856,0.0538,0.0376,0.0612,0.0677,0.1604,0.3615,0.0334,0.3347,0.0513
